"stand","average_basal_area_per_acre_in","average_dbh_in","average_height_ft","dominant_tree_species","regeneration_presence","average_seedlings_per_acre","dominant_regeneration_species","insect_damage_presence","browse_damage_presence","list_damage"
"Burn 2018 E",8.78,4.04,12.68,"Douglas fir, 3 plots, 27.27% of plots","6 plots, 54.55% of plots",554.55,"Aspen, 5 plots, 45.45% of plots","10 plots, 90.91% of plots","8 plots, 72.73% of plots","Browse, insect"
"Summary A",43.1,13.61,40.05,"Ponderosa pine, 14 plots, 50% of plots","23 plots, 82.14% of plots",485.71,"Douglas fir, 8 plots, 28.57% of plots","23 plots, 82.14% of plots","18 plots, 64.29% of plots","Browse, insect"
"Summary B",36.81,14.72,44.26,"Douglas fir, 14 plots, 66.67% of plots","10 plots, 47.62% of plots",292.86,"Rocky Mountain juniper, 3 plots, 14.29% of plots","19 plots, 90.48% of plots","8 plots, 38.1% of plots","Browse, insect"
"Summary C",25.92,8.89,30.38,"Douglas fir, 7 plots, 70% of plots","6 plots, 60% of plots",125,"Douglas fir, 4 plots, 40% of plots","7 plots, 70% of plots","2 plots, 20% of plots","Bark beetle, browse, canker, Douglas fir adelgid, fungus, galls, mechanical damage, mistletoe, sapsucker, spruce budworm, wind damage"
"Summary D",25.99,8.46,27.2,"Douglas fir, 3 plots, 37.5% of plots","5 plots, 62.5% of plots",43.75,"Rocky Mountain juniper, 2 plots, 25% of plots","5 plots, 62.5% of plots","0 plots, 0% of plots","Bark beetle, canker, Douglas fir adelgid, galls, gash, mechanical damage, mistletoe, sapsucker, spruce budworm, wind damage"
"Summary F",35.52,9.43,35.66,"Douglas fir, 8 plots, 80% of plots","10 plots, 100% of plots",265,"White fir, 7 plots, 70% of plots","9 plots, 90% of plots","8 plots, 80% of plots","Browse, insect"
"Summary G",24.87,9.38,33.49,"Douglas fir, 12 plots, 52.17% of plots","15 plots, 65.22% of plots",900,"Douglas fir, 6 plots, 26.09% of plots","11 plots, 47.83% of plots","6 plots, 26.09% of plots","Bark beetle, browse, canker, Douglas fir adelgid, galls, mechanical damage, mistletoe, sapsucker, spruce budworm, wind damage"
"Summary H",34.39,9.72,37.67,"Douglas fir, 12 plots, 70.59% of plots","17 plots, 100% of plots",952.94,"Aspen, 8 plots, 47.06% of plots","7 plots, 41.18% of plots","11 plots, 64.71% of plots","Bark beetle, browse, canker, Douglas fir adelgid, fungus, galls, mechanical damage, rot, sapsucker, spruce budworm, wind damage, woodpecker"
